,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
_id,1,3,2099,2101,2109,2081,1343,2102,1054,2104,2106,2108,2110,2112,2097,2114,2116,2118,2120,2122
Category,Neighbourhood Information,Population,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income
Topic,Neighbourhood Information,Population and dwellings,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015
Characteristic,Neighbourhood Number,"Population, 2016","$10,000 to $14,999","$100,000 to $124,999","$125,000 to $149,999","$15,000 to $19,999","$150,000 to $199,999","$20,000 to $24,999","$200,000 and over","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$5,000 to $9,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999"
Maple Leaf,29,10111,115,625,385,215,475,370,200,395,340,410,395,375,70,755,635,465,405,380
Markland Wood,12,10554,95,945,725,140,1125,265,575,320,310,315,375,365,50,705,605,605,530,470
Milliken,130,26572,265,1490,920,680,990,520,295,905,835,750,800,750,150,1375,1370,1170,1005,840
Mimico (includes Humber Bay Shores),17,33964,1260,3175,2150,2030,2780,1590,1245,1405,1425,1510,1565,1505,745,2930,2770,2430,2135,1760
Morningside,135,17455,440,1075,665,520,695,520,205,615,615,590,645,600,255,1025,905,800,680,610
Moss Park,73,20506,2100,1700,1110,1745,1500,1120,800,1010,820,880,905,800,1460,1460,1435,1265,1100,900
Mount Dennis,115,13593,510,745,375,635,240,600,50,610,650,610,570,570,255,1075,835,700,630,505
Mount Olive-Silverstone-Jamestown,2,32954,585,1510,745,875,550,850,110,1070,1200,1285,1260,1240,430,2225,1895,1505,1175,945
Mount Pleasant East,99,16775,340,1240,1025,640,2600,505,1740,480,475,500,475,510,190,965,870,780,680,585
Mount Pleasant West,104,29658,1390,2760,1590,2005,2110,1565,1095,1395,1405,1585,1700,1715,910,3185,2835,2530,2050,1645
New Toronto,18,11463,605,845,575,910,675,715,225,640,615,510,505,470,300,825,655,550,455,420
Newtonbrook East,50,16097,420,1045,640,765,1065,500,535,680,520,430,470,515,305,865,805,710,610,530
Newtonbrook West,36,23831,590,1340,880,1105,1140,965,470,1040,1020,880,820,795,435,1430,1265,1150,885,785
Niagara,82,31180,1080,4120,2595,1145,3135,1135,1535,1140,1165,1250,1490,1550,685,3280,3225,3055,2720,2210
North Riverdale,68,11916,265,840,670,350,1645,365,1055,345,350,350,405,395,135,675,570,520,445,435
North St. James Town,74,18615,1535,885,440,1875,415,1195,170,1190,1145,1125,1070,1035,895,1635,1250,1050,765,575
Oakridge,121,13845,820,560,255,965,210,685,50,685,725,695,640,555,580,905,725,500,405,345
Oakwood Village,107,21210,515,1495,965,1245,1190,1070,450,870,975,955,930,720,365,1350,1230,1040,915,790
O'Connor-Parkview,54,18675,535,1170,815,805,1195,815,515,795,795,785,735,650,305,1270,1010,900,780,695
Old East York,58,9233,170,765,570,335,890,315,430,290,295,355,290,320,115,545,545,435,440,340
Palmerston-Little Italy,80,13826,460,1195,840,630,1270,555,650,545,560,560,545,485,260,925,885,790,645,595
Parkwoods-Donalda,45,34805,645,2340,1435,1050,1975,1270,890,1230,1305,1290,1375,1410,375,2535,2185,1850,1550,1285
Pelmo Park-Humberlea,23,10722,110,955,620,165,635,240,190,260,310,370,315,335,85,635,585,540,510,480
Playter Estates-Danforth,67,7804,260,500,400,455,955,335,630,270,280,280,285,275,130,500,420,410,335,265
Pleasant View,46,15818,205,1165,805,350,890,440,295,475,550,495,570,490,155,970,865,790,665,590
Princess-Rosethorn,10,11051,75,765,660,95,1895,135,1270,130,165,210,150,155,20,385,350,370,395,360
Regent Park,72,10803,715,490,285,805,335,635,150,610,550,570,500,480,600,870,705,535,405,315
Rexdale-Kipling,4,10529,275,820,455,385,410,365,95,350,350,395,370,370,190,695,580,500,500,445
Rockcliffe-Smythe,111,22246,750,1645,865,1330,660,1090,165,1005,950,1025,900,875,550,1540,1330,1165,1025,915
Roncesvalles,86,14974,715,1110,765,1025,1280,730,675,570,610,540,555,575,350,975,880,770,690,600
Rosedale-Moore Park,98,20923,380,1555,1195,525,3930,535,3055,560,485,540,620,620,240,1185,1165,1060,940,820
Rouge,131,46496,265,3925,2720,425,3200,525,1075,680,690,890,935,1020,160,2080,2125,2070,1990,1815
Runnymede-Bloor West Village,89,10070,90,855,680,140,1465,215,875,190,215,240,210,225,60,450,420,420,405,385
Rustic,28,9941,340,435,300,655,335,560,115,515,500,485,430,345,175,595,460,405,340,230
Scarborough Village,139,16724,615,755,430,670,490,670,195,710,800,705,745,735,355,1180,885,700,565,435
South Parkdale,85,21849,1725,1080,550,2210,615,1605,240,1520,1385,1490,1325,1130,815,1975,1485,1215,895,710
South Riverdale,70,27876,1030,2245,1780,1350,2795,930,1435,845,920,905,820,800,630,1595,1635,1400,1335,1160
St.Andrew-Windfields,40,17812,250,1070,795,310,2400,355,1745,400,365,445,390,400,175,790,720,700,615,540
Steeles,116,24623,310,1580,995,760,1060,640,380,825,880,800,645,685,225,1235,1280,1100,975,855
Stonegate-Queensway,16,25051,435,1985,1500,650,2935,825,1715,825,845,780,810,800,235,1485,1360,1160,1055,945
Tam O'Shanter-Sullivan,118,27446,520,1700,1045,1245,1160,1055,400,1210,1085,1110,1100,1025,305,1790,1505,1345,1175,925
Taylor-Massey,61,15683,655,655,340,785,295,770,75,815,845,815,850,800,370,1295,1015,770,595,455
The Beaches,63,21567,525,1755,1315,600,3310,585,2265,515,525,620,615,600,300,1150,1000,1030,930,840
Thistletown-Beaumond Heights,3,10360,135,675,435,240,425,310,120,290,350,340,355,350,70,630,560,425,410,370
Thorncliffe Park,55,21108,510,760,345,960,275,800,100,1000,1025,975,1050,885,310,1510,1175,855,675,510
Trinity-Bellwoods,81,16556,440,1325,870,520,1455,645,730,530,620,590,615,570,215,1060,930,860,790,700
University,79,7607,330,525,335,355,590,355,340,270,290,280,295,240,285,465,430,370,300,255
Victoria Village,43,17510,565,1005,575,1095,635,870,240,830,850,825,860,870,400,1360,1180,935,755,585
Waterfront Communities-The Island,77,65913,2360,8555,5445,2690,7545,2580,3850,2435,2415,2700,2915,3115,1775,6465,6850,6210,5310,4685
West Hill,136,27392,1110,1735,1045,1315,1020,1015,300,1010,1045,985,1000,865,785,1675,1445,1315,1155,935
