_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,ADDRESS_POINT_ID,ADDRESS_NUMBER,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,CENTRELINE_ID,geometry
628,628,13971288,MAURICE CODY JUNIOR PUBLIC SCHOOL,Toronto District School Board,364 BELSIZE DR,13971288,364,364 Belsize Dr,M4S 1N2,former Toronto,Toronto,Maurice Cody Junior Public School,1138442,MULTIPOINT (-79.3776790176605 43.7048143191022)
629,629,9311796,MCCANNY SECONDARY SCHOOL,,1051 MCNICOLL AVE,9311796,1051,1051 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,9311781,MULTIPOINT (-79.3334180682278 43.8037726233403)
630,630,8680076,MCDONALD INTERNATIONAL ACADEMY   ,,920 YONGE ST,8680076,920,920 Yonge St,M4W 3C7,former Toronto,Toronto,,8680067,MULTIPOINT (-79.388995216946 43.6741032299172)
631,631,549130,MCDONALD INTERNATIONAL ACADEMY - NORTH YORK,,5 PARK HOME AVE,549130,5,5 Park Home Ave,M2N 6L4,North York,Toronto,,30109075,MULTIPOINT (-79.4147649799802 43.7685488622026)
632,632,13973429,MCKEE PUBLIC SCHOOL,Toronto District School Board,35 CHURCH AVE,13973429,35,35 Church Ave,M2N 6X6,North York,Toronto,McKee Public School,438374,MULTIPOINT (-79.411056249547 43.7741078589817)
633,633,6620127,MCMURRICH JUNIOR PUBLIC SCHOOL,Toronto District School Board,115 WINONA DR,6620127,115,115 Winona Dr,M6G 3S8,former Toronto,Toronto,McMurrich Junior Public School,6620030,MULTIPOINT (-79.4310619546751 43.6780763704772)
634,634,30033326,MCNICOLL AVENUE SCHOOL BUILDING,Toronto District School Board,155 MCNICOLL AVE,30033326,155,155 McNicoll Ave,M2H 2C1,North York,Toronto,,30076504,MULTIPOINT (-79.358084392574 43.7989816726444)
635,635,6349862,MEADOWVALE PUBLIC SCHOOL  ,Toronto District School Board,761 MEADOWVALE RD,6349862,761,761 Meadowvale Rd,M1C 1T1,Scarborough,Toronto,Meadowvale Public School - Building Grounds,6349870,MULTIPOINT (-79.1640681823792 43.7955110107972)
636,636,10154322,MELODY VILLAGE JUNIOR SCHOOL,Toronto District School Board,520 SILVERSTONE DR,10154322,520,520 Silverstone Dr,M9V 3L5,Etobicoke,Toronto,Melody Village Public School,10154323,MULTIPOINT (-79.5948425834357 43.7381347518027)
637,637,559927,METAMORPHOSIS GREEK ORTHODOX  ,,30 SCARSDALE RD,559927,30,30 Scarsdale Rd,M3B 2R7,North York,Toronto,,30084194,MULTIPOINT (-79.3548698162044 43.7466801118087)
638,638,8837836,METRO INTERNATIONAL ACADEMY SCHOOL,,1300 DON MILLS RD,8837836,1300,1300 Don Mills Rd,M3B 2W6,North York,Toronto,,8837833,MULTIPOINT (-79.3466830289955 43.7454129178027)
639,639,539270,METROPOLITAN BIBLE BAPTIST CHRISTIAN ACADEMY,,53 MADAWASKA AVE,539270,53,53 Madawaska Ave,M2M 2R2,North York,Toronto,Newtonbrook Baptist Church,436733,MULTIPOINT (-79.414957386055 43.7943828835045)
640,640,8211543,METROPOLITAN PREPARATORY ACADEMY,,49 MOBILE DR,8211543,49,49 Mobile Dr,M4A 1H5,North York,Toronto,,8211539,MULTIPOINT (-79.3183007808536 43.724011044755)
641,641,999998,MICHAEL POWER ST JOSEPH CATHOLIC HIGH SCHOOL,Toronto Catholic District School Board,105 ERINGATE DR,999998,105,105 Eringate Dr,M9C 3Z7,Etobicoke,Toronto,Michael Power/St. Joseph Catholic School,910560,MULTIPOINT (-79.5819840831399 43.6592899896851)
642,642,4304192,MIDLAND ADULT EDUCATION CENTRE,Toronto Catholic District School Board,3320 MIDLAND AVE,4304192,3320,3320 Midland Ave,M1V 5E6,Scarborough,Toronto,,14669435,MULTIPOINT (-79.2893531869412 43.8074335011916)
643,643,6942851,MILITARY TRAIL PUBLIC SCHOOL,Toronto District School Board,701 MILITARY TRL,6942851,701,701 Military Trl,M1E 4P6,Scarborough,Toronto,Military Trail Public School,14658974,MULTIPOINT (-79.1971169704309 43.7891154918287)
644,644,7471919,MILL VALLEY JUNIOR SCHOOL,Toronto District School Board,411 MILL RD,7471919,411,411 Mill Rd,M9C 1Y9,Etobicoke,Toronto,Mill Valley Public School,7471917,MULTIPOINT (-79.5869715708541 43.6441893872147)
645,645,375326,MILLIKEN PUBLIC SCHOOL,Toronto District School Board,130 PORT ROYAL TRL,375326,130,130 Port Royal Trl,M1V 2T4,Scarborough,Toronto,Milliken Public School,103623,MULTIPOINT (-79.2884969457851 43.8165865457748)
646,646,1018827,MILLWOOD JUNIOR SCHOOL,Toronto District School Board,222 MILL RD,1018827,222,222 Mill Rd,M9C 1Y2,Etobicoke,Toronto,,912833,MULTIPOINT (-79.5769148190181 43.6334096401878)
647,647,570770,MILNE VALLEY MIDDLE SCHOOL,Toronto District School Board,100 UNDERHILL DR,570770,100,100 Underhill Dr,M3A 2J9,North York,Toronto,Milne Valley Middle School,441523,MULTIPOINT (-79.3267091236923 43.7472020481689)
648,648,7890983,MIMICO ADULT CENTRE,Toronto District School Board,255 ROYAL YORK RD,7890983,255,255 Royal York Rd,M8V 2V8,Etobicoke,Toronto,,7846747,MULTIPOINT (-79.4966462297214 43.6130763326375)
649,649,8731056,MINDWERX4KIDS LEARNING CENTRE,,3825 BLOOR ST W,8731056,3825,3825 Bloor St W,M9B 1K9,Etobicoke,Toronto,,8731054,MULTIPOINT (-79.5376085288678 43.6410805752457)
650,650,2565760,MONARCH PARK COLLEGIATE INSTITUTE,Toronto District School Board,1 HANSON ST,2565760,1,1 Hanson St,M4J 1G6,former Toronto,Toronto,Monarch Park Collegiate,2565761,MULTIPOINT (-79.3227718925618 43.6792807307855)
