_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
709,709,12116136,OAKWOOD COLLEGIATE INSTITUTE,None,EP,Toronto District School Board,991 ST CLAIR AVE W,English Public,12116136,991,St Clair Ave W,991 St Clair Ave W,M6E 1A3,former Toronto,Toronto,Oakwood Collegiate Institute,102002,12116129,991,None,,None,890,"{""coordinates"": [[309930.00799108186, 4837635.314398996]], ""type"": ""MultiPoint""}"
710,710,13972658,OAKWOOD VILLAGE MONTESSORI SCHOOL,None,PR,None,473 OAKWOOD AVE,Private,13972658,473,Oakwood Ave,473 Oakwood Ave,M6E 2W4,York,Toronto,None,107010,8083,473,None,,None,794,"{""coordinates"": [[309649.84607183485, 4839012.46615964]], ""type"": ""MultiPoint""}"
711,711,3948771,OASIS ALTERNATIVE SECONDARY SCHOOL,None,EP,Toronto District School Board,20 BRANT ST,English Public,3948771,20,Brant St,20 Brant St,M5V 2M1,former Toronto,Toronto,Alpha Alternative Junior Public School,102001,14036014,20,None,,None,3055,"{""coordinates"": [[313011.03736068634, 4833979.609982154]], ""type"": ""MultiPoint""}"
712,712,12631087,OCAD UNIVERSITY - ABOVEGRD ART SUPPLIES  ,None,U,None,74 MCCAUL ST,University,12631087,74,Mc Caul St,74 Mc Caul St,M5T 3K2,former Toronto,Toronto,None,115001,12631085,74,None,,None,3951,"{""coordinates"": [[313599.7482728574, 4834729.282834974]], ""type"": ""MultiPoint""}"
713,713,12631093,OCAD UNIVERSITY - ANNEX BUILDING  ,None,U,None,113 MCCAUL ST,University,12631093,113,Mc Caul St,113 Mc Caul St,None,former Toronto,Toronto,None,115001,12631085,113,None,,None,3951,"{""coordinates"": [[313586.2882789045, 4834890.838806426]], ""type"": ""MultiPoint""}"
714,714,10947998,OCAD UNIVERSITY - INCLUSIVE DESIGN INSTITUTE  ,None,U,None,49 MCCAUL ST,University,10947998,49,Mc Caul St,49 Mc Caul St,None,former Toronto,Toronto,None,115001,10947999,49,None,,None,3951,"{""coordinates"": [[313668.4822584402, 4834632.716850658]], ""type"": ""MultiPoint""}"
715,715,14606896,OCAD UNIVERSITY - MAIN BUILDING,None,U,None,100 MCCAUL ST,University,14606896,100,Mc Caul St,100 Mc Caul St,M5T 1W1,former Toronto,Toronto,None,102008,12631085,100,None,,None,3951,"{""coordinates"": [[313576.1142784224, 4834789.242824802]], ""type"": ""MultiPoint""}"
716,716,12631086,OCAD UNIVERSITY - ROSALIE SHARP PAVILION  ,None,U,None,115 MCCAUL ST,University,12631086,115,Mc Caul St,115 Mc Caul St,None,former Toronto,Toronto,None,115001,12631085,115,None,,None,3951,"{""coordinates"": [[313579.97728029237, 4834902.448804495]], ""type"": ""MultiPoint""}"
717,717,14208234,OCAD UNIVERSITY - STUDENT CENTRE ,None,U,None,51 MCCAUL ST,University,14208234,51,Mc Caul St,51 Mc Caul St,M5T 2W7,former Toronto,Toronto,None,115001,10947999,51,None,,None,3951,"{""coordinates"": [[313661.4192603677, 4834662.067845578]], ""type"": ""MultiPoint""}"
718,718,7796143,OCAD UNIVERSITY - THE LEARNING ZONE  ,None,U,None,122 ST PATRICK ST,University,7796143,122,St Patrick St,122 St Patrick St,M5T 2X8,former Toronto,Toronto,None,112001,14121645,122,None,,None,4471,"{""coordinates"": [[313661.684264375, 4834841.456813546]], ""type"": ""MultiPoint""}"
