_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
972,212,998,STANLEY PARK NORTH - TORONTO,Park,"Basketball Court, Outdoor Ping Pong/Table Tennis, Playground, Washroom",890 KING ST W,None,https://www.toronto.ca/data/parks/prd/facilities/complex/212/index.html,"{""coordinates"": [[312073.88252096024, 4833690.834054866]], ""type"": ""MultiPoint""}"
973,708,727,MAJOR ABBAS ALI PARK,Park,"Sports Field, Tennis Court",180 MCLEVIN AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/708/index.html,"{""coordinates"": [[326468.8473765464, 4851688.02551646]], ""type"": ""MultiPoint""}"
974,590,939,SEVEN OAKS PARK,Park,"Ball Diamond, Playground, Tennis Court, Washroom",372 MILITARY TRL,None,https://www.toronto.ca/data/parks/prd/facilities/complex/590/index.html,"{""coordinates"": [[328093.26604549744, 4849849.61980572]], ""type"": ""MultiPoint""}"
975,3535,58964,LISGAR PARK,Park,Playground,60 LISGAR ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/3535/index.html,"{""coordinates"": [[310948.39171965595, 4833619.320092972]], ""type"": ""MultiPoint""}"
976,383,785,OLYMPIC PARK,Park,None,222 BREMNER BLVD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/383/index.html,"{""coordinates"": [[314083.64616237296, 4833651.755016472]], ""type"": ""MultiPoint""}"
977,419,865,REGENT PARK ATHLETIC GROUNDS,Park,"Basketball Court, Outdoor Dry Pad, Outdoor Ping Pong/Table Tennis, Outdoor Track, Pickleball Court, Sports Field, Washroom",480 SHUTER ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/419/index.html,"{""coordinates"": [[316163.9538340225, 4835498.199639545]], ""type"": ""MultiPoint""}"
978,2552,853,RANCHDALE PARK,Park,Playground,44 RANCHDALE CRES,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2552/index.html,"{""coordinates"": [[319053.595553626, 4845705.650753091]], ""type"": ""MultiPoint""}"
979,2500,1395,LITTLE YORK PARKETTE,Park,None,58 NORWOOD TER,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2500/index.html,"{""coordinates"": [[320842.51006837643, 4838413.660012197]], ""type"": ""MultiPoint""}"
980,207,184,CHARLOTTE MAHER PARK,Park,Playground,550 ROEHAMPTON AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/207/index.html,"{""coordinates"": [[314400.2052803174, 4841339.449637401]], ""type"": ""MultiPoint""}"
981,777,1135,WINDFIELDS PARK,Park,None,2451 BAYVIEW AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/777/index.html,"{""coordinates"": [[314815.4702838566, 4844739.53902204]], ""type"": ""MultiPoint""}"
982,2309,1299,FAIRMEADOW PARKETTE,Park,None,37 FAIRMEADOW AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2309/index.html,"{""coordinates"": [[313012.4196372857, 4846211.279800889]], ""type"": ""MultiPoint""}"
983,773,1093,WEDGEWOOD PARK - ETOBICOKE,Park,"Pickleball Court, Playground, Tennis Court, Washroom",15 SWAN AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/773/index.html,"{""coordinates"": [[300966.76750039146, 4833835.855276558]], ""type"": ""MultiPoint""}"
984,2078,2,ABBOTSFORD PARK,Park,Playground,2 A ABBOTSFORD RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2078/index.html,"{""coordinates"": [[311111.0450117817, 4847854.253551491]], ""type"": ""MultiPoint""}"
